Date,Open,High,Low,Close,Adj Close,Volume
2014/5/23,21.25,21.25,19.940001,20.1,20.1,20890300
2014/5/27,20.280001,22.98,20.25,22.969999,22.969999,15338100
2014/5/28,22.98,25.299999,22.799999,24.780001,24.780001,16783000
2014/5/29,25.040001,25.690001,24.24,25.4,25.4,8525900
2014/5/30,25.27,25.559999,23.790001,25,25,6302800
2014/6/2,25.4,25.440001,24.07,24.6,24.6,3808800
2014/6/3,24.17,25.25,24.030001,25.1,25.1,3388500
2014/6/4,24.99,25.280001,24.440001,24.540001,24.540001,2990800
2014/6/5,24.799999,26.75,24.6,25.780001,25.780001,7933500
2014/6/6,26.5,27.040001,26.309999,26.58,26.58,4317500
2014/6/9,27,29.09,26.58,28.43,28.43,10659800
2014/6/10,28.82,28.860001,27.700001,28.35,28.35,5617200
2014/6/11,28.1,29.49,28.1,29,29,6555600
2014/6/12,29.59,29.6,26.34,27.17,27.17,9159600
2014/6/13,27.68,28.200001,27.129999,27.790001,27.790001,5161800
2014/6/16,27.219999,27.440001,26.379999,26.889999,26.889999,6160000
2014/6/17,27.219999,27.450001,26.629999,27.018999,27.018999,3652000
2014/6/18,27.440001,27.889999,26.030001,26.52,26.52,5278300
2014/6/19,27,27,25.799999,25.83,25.83,3716900
2014/6/20,25.75,25.969999,24.92,25.450001,25.450001,7613400
2014/6/23,25.110001,26.459999,25.1,26.370001,26.370001,5590900
2014/6/24,26.51,27.34,26.51,27.040001,27.040001,5737700
2014/6/25,27.25,27.35,26.450001,27.07,27.07,1923600
2014/6/26,27.139999,28.35,26.809999,28.299999,28.299999,3622300
2014/6/27,28.360001,28.5,27.709999,28.01,28.01,3066300
2014/6/30,28.17,28.530001,27.68,28.51,28.51,3986200
2014/7/1,29,31.219999,28.860001,29.690001,29.690001,12626000
2014/7/2,30.4,30.41,28.5,28.959999,28.959999,6108200
2014/7/3,29.280001,29.35,27.530001,27.790001,27.790001,4398200
2014/7/7,28.01,28.73,27.450001,27.629999,27.629999,3826200
2014/7/8,28.08,28.08,25.809999,26.469999,26.469999,6454700
2014/7/9,27.09,27.15,26.049999,26.360001,26.360001,4549900
2014/7/10,25.83,27.796,25.280001,27.700001,27.700001,4717600
2014/7/11,27.51,27.9,26.85,27.040001,27.040001,3315400
2014/7/14,27.629999,28.23,27.5,28.040001,28.040001,2850400
2014/7/15,28.200001,28.4,27.75,28.209999,28.209999,3427000
2014/7/16,28.5,29.299999,28.299999,29.110001,29.110001,3785400
2014/7/17,28.82,29.389999,27.5,27.559999,27.559999,3749200
2014/7/18,27.74,28.33,27.5,27.82,27.82,1993900
2014/7/21,27.67,28.66,27.67,28.540001,28.540001,2098800
2014/7/22,28.84,29.379999,28.5,28.73,28.73,2304200
2014/7/23,28.889999,29.059999,27.809999,27.879999,27.879999,2476900
2014/7/24,28,29.23,27.9,29.049999,29.049999,2733300
2014/7/25,29.1,29.48,28.5,29.030001,29.030001,3872000
2014/7/28,29.26,30.35,29.07,29.49,29.49,5040700
2014/7/29,29.83,30.219999,29.5,29.620001,29.620001,3316500
2014/7/30,30.059999,30.1,29.02,29.07,29.07,3085100
2014/7/31,28.5,28.9,28.1,28.58,28.58,2979500
2014/8/1,28.549999,28.790001,27.299999,27.940001,27.940001,4572400
2014/8/4,28.200001,28.299999,27.559999,27.790001,27.790001,5315300
2014/8/5,27.700001,28.187,27.5,27.73,27.73,2893700
2014/8/6,27.559999,27.73,27.299999,27.51,27.51,2412100
2014/8/7,27.75,28.07,27.379999,27.48,27.48,3863500
2014/8/8,27.84,28.379999,27.6,28.360001,28.360001,3737900
2014/8/11,28.799999,29,28.09,28.209999,28.209999,4218700
2014/8/12,28.299999,28.98,28.299999,28.77,28.77,2742600
2014/8/13,28.950001,30.559999,28.950001,30.469999,30.469999,8378200
2014/8/14,30.4,30.700001,29.709999,30.01,30.01,5536900
2014/8/15,28.690001,30.700001,28.1,29.58,29.58,10580600
2014/8/18,30.075001,30.610001,29.52,30.040001,30.040001,6617900
2014/8/19,30.42,31.809999,29.889999,30.209999,30.209999,10274700
2014/8/20,30.08,31.15,30.07,30.93,30.93,4141000
2014/8/21,31.02,31.450001,30.530001,30.82,30.82,4314800
2014/8/22,30.809999,31.200001,30.809999,30.959999,30.959999,2418200
2014/8/25,31.309999,31.450001,30.74,31.34,31.34,3470900
2014/8/26,31.190001,32.080002,31.120001,32.009998,32.009998,5343000
2014/8/27,31.85,33.099998,31.83,32.639999,32.639999,7758900
2014/8/28,32.299999,32.310001,31.379999,31.440001,31.440001,6761400
2014/8/29,31.540001,32.07,31.299999,31.92,31.92,3442200
2014/9/2,32,32.349998,30.32,31.07,31.07,7451100
2014/9/3,31.5,31.549999,30.57,30.809999,30.809999,2753800
2014/9/4,30.809999,31.469999,29.679001,30.26,30.26,3774500
2014/9/5,30.34,30.42,28.9,29.030001,29.030001,7136500
2014/9/8,29,29.6,28.93,29.129999,29.129999,3337100
2014/9/9,29.219999,29.57,28.99,29.059999,29.059999,3332200
